Year,Location,Parasite,Treatment,Rep,AvgPropInf
2004,KBS,Metsch,Control,1,0.833333333
2004,KBS,Metsch,Control,2,0.866666667
2004,KBS,Metsch,Control,3,1
2004,KBS,Metsch,Control,4,0.833333333
2004,KBS,Metsch,Control,5,0.766666667
2004,KBS,Metsch,Fish,1,0.866666667
2004,KBS,Metsch,Fish,3,0.8
2004,KBS,Metsch,Fish,4,0.433333333
2004,KBS,Metsch,Fish,5,0.833333333
2012,GaTech,Past,Control,C1,0.5
2012,GaTech,Past,Control,C1,0.6
2012,GaTech,Past,Control,C1,0.75
2012,GaTech,Past,Control,C1,1
2012,GaTech,Past,Control,C2,0.2
2012,GaTech,Past,Control,C2,0.5
2012,GaTech,Past,Control,C2,0.6
2012,GaTech,Past,Control,C2,1
2012,GaTech,Past,Control,C3,0.25
2012,GaTech,Past,Control,C3,0.333333333
2012,GaTech,Past,Control,C3,0.5
2012,GaTech,Past,Control,C3,0.5
2012,GaTech,Past,Control,C4,0.6
2012,GaTech,Past,Control,C4,0.666666667
2012,GaTech,Past,Control,C4,0.666666667
2012,GaTech,Past,Control,C4,0.75
2012,GaTech,Past,Fish,F1,0
2012,GaTech,Past,Fish,F1,0.333333333
2012,GaTech,Past,Fish,F1,0.333333333
2012,GaTech,Past,Fish,F1,0.333333333
2012,GaTech,Past,Fish,F2,0.25
2012,GaTech,Past,Fish,F2,0.4
2012,GaTech,Past,Fish,F2,0.4
2012,GaTech,Past,Fish,F2,0.75
2012,GaTech,Past,Fish,F3,0.333333333
2012,GaTech,Past,Fish,F3,0.5
2012,GaTech,Past,Fish,F3,0.666666667
2012,GaTech,Past,Fish,F3,0.833333333
2012,GaTech,Past,Fish,F4,0.6
2012,GaTech,Past,Fish,F4,0.666666667
2012,GaTech,Past,Fish,F4,0.75
2012,GaTech,Past,Fish,F4,0.8
