Lake,Date,Number fish,Alpha,Parasite,Lake01,Comparison,Host,Infected
Cloverdale,10/6/02,2,0.772452213,Spiro,2,Scar,Dentifera,Infected
Cloverdale,10/10/02,3,0.829262201,Spiro,2,Scar,Dentifera,Infected
Baker,7/13/03,6,0.740967811,Spiro,5,Scar,Dentifera,Infected
Bassett,8/6/03,3,0.971562825,Spiro,4,Scar,Dentifera,Infected
Pine,8/14/03,5,0.660847672,Spiro,1,Scar,Dentifera,Infected
Baker,9/19/02,1,0.158974359,Uninf,5,Metsch,Dentifera,Uninfected
Baker,9/19/02,1,0.841025641,Metsch,5,Metsch,Dentifera,Infected
Baker,9/23/02,4,0.046165125,Uninf,5,Metsch,Dentifera,Uninfected
Baker,9/23/02,4,0.953834875,Metsch,5,Metsch,Dentifera,Infected
Bristol,9/14/03,5,0.09222871,Uninf,3,Metsch,Dentifera,Uninfected
Bristol,9/14/03,5,0.90777129,Metsch,3,Metsch,Dentifera,Infected
Bristol,9/14/03,4,0.009833344,Uninf,3,Metsch,Retrocurva,Uninfected
Bristol,9/14/03,4,0.990166656,Metsch,3,Metsch,Retrocurva,Infected
Bristol,9/14/03,4,0.078482827,Uninf,3,Spiderman,Retrocurva,Uninfected
Bristol,9/14/03,4,0.921517173,Oomycete,3,Spiderman,Retrocurva,Infected
Bristol,9/14/03,5,0.227817576,Uninf,3,Spiderman,Dentifera,Uninfected
Bristol,9/14/03,5,0.772182424,Oomycete,3,Spiderman,Dentifera,Infected
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
